Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,9484544,1070006,968316,72038,0,104758,304430,44148,0,275805,1024585,981819,0,3857077
1,2260453,8385042,7678015,192941,0,295587,365685,102448,0,434383,301391,96660,0,4959394
2,183957,162054,2744389,16887,0,15987,16997,10029,0,5150,1723,3052,0,49041
3,2782,3863,3013,611976,0,3634,1118,135,0,468,620,733,0,2062
4,38,2,4,653,0,98,2288,0,0,25,1196,864,0,70
5,944,14,1056,408,0,186334,39393,10,0,772,897,52,0,985
6,1031,588,503,3,0,4866,24441,0,0,168,1309,210,0,3248
7,10040,37000,21675,1251,0,352,2138,548209,0,2686,5644,1415,0,60679
8,5848,2366,13752,1271,0,72,98,1156,0,273,418,333,0,11416
9,3958,1249,449,464,0,0,81,0,0,39837,348,3430,0,1894
10,9554,14,191,4,0,1873,2358,0,0,11976,54872,41264,0,13094
11,72640,2291,1295,564,0,7499,7693,68,0,14004,76811,488623,0,38592
12,198,6,5,385,0,1163,1108,1,0,99,910,506,0,171
13,108633,22901,13074,422,0,113,5206,1032,0,24525,41937,11483,0,380127
